ID1,ID2,EdgeType,Score,Annotation
6539,6540,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
6569,6571,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
6569,6573,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
6571,6573,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9821
6575,6578,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9549
6596,6601,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
6596,6606,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
6601,6606,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9824
6614,6625,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
6630,6632,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9822
6630,6633,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
6632,6633,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
6634,6635,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
6645,6649,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
6645,6649,MS1 annotation,3.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0264
6646,6657,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
6646,6656,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0263
